zh_name,en_name
辩经,Yo_Choice
小小英雄生存,SmallHeroSurvive
洪都,hong du
命运的审判,Trial Of Destiny
WASD推猫咪,Push The Cat with WASD
迷央8丁目,Mayonaka 8 chome
吃货猫奇遇,Find Cats 2
连眠不觉,Everlasting Snooze
煤炭之路,Coal Road
未着陆,Unlanded
Jrago II 伊甸园的守护者,Jrago II Guardians of Eden
道筋,Journey
烹之道,The Way of Cooking
完蛋！我被丧尸包围了,Oops! Zombie Swarm
黑西游,Black Journey to the West
谁是被告人-灵魂绘师,Who is the Defendant: Deliberately Rough
召唤师崛起,summoner rises
方块消除竞技赛,Arena of block puzzle
矿工塔防,Miner Tower Defense
三声三许,Singalongsong
无限板块,Infinity Blocks
冥想空间,Moksha Space
孔明锁,kong ming suo
魔卡：十二生肖,Magic Card：CZ12
归乡,Homesickness
股王之王,King of Stocks
凤凰计划,Project Phoenix
美眉纸牌,Beauty Solitaire
糖果&玩具商店模拟器,Candy & Toys Store Simulator
关卡制造大师,Master Level Maker
