game_name,trainer_name,trainer_url,download_url
Daemon X Machina: Titanic Scion,Daemon X Machina: Titanic Scion Trainer,https://flingtrainer.com/trainer/daemon-x-machina-titanic-scion-trainers/,"https://flingtrainer.com/downloads/viAyBJoRLaSb5MAi_D9lMg,,"
Darkest Dungeon II,Darkest Dungeon II Trainer,https://flingtrainer.com/trainer/darkest-dungeon-ii-trainer/,"https://flingtrainer.com/downloads/ZniToVyfJAq72p49FtTq0A,,"
Darkest Dungeon,Darkest Dungeon Trainer,https://flingtrainer.com/trainer/darkest-dungeon-trainer/,"https://flingtrainer.com/downloads/ViwmVcgVMGfwbVMo90YINw,,"
Darksiders Genesis,Darksiders Genesis Trainer,https://flingtrainer.com/trainer/darksiders-genesis-trainer/,"https://flingtrainer.com/downloads/cLeXlR2j4QZ8Phyu9P_zWQ,,"
Dark Souls III,Dark Souls III Trainer,https://flingtrainer.com/trainer/dark-souls-iii-trainers/,"https://flingtrainer.com/downloads/KquruMdbnbCtjz1K88I-ZQ,,"
Dark Souls: Remastered,Dark Souls: Remastered Trainer,https://flingtrainer.com/trainer/dark-souls-remastered-trainer/,"https://flingtrainer.com/downloads/y4eKejxfhfDGiyeZEaPHQQ,,"
Dave The Diver,Dave The Diver Trainer,https://flingtrainer.com/trainer/dave-the-diver-trainer/,"https://flingtrainer.com/downloads/cvb40dudXqdeiAolusxArA,,"
Daymare: 1998,Daymare: 1998 Trainer,https://flingtrainer.com/trainer/daymare-1998-trainer/,"https://flingtrainer.com/downloads/zv9q_rNYSdD6sMimKZfmXw,,"
Days Gone,Days Gone Trainer,https://flingtrainer.com/trainer/days-gone-trainer-20210518/,"https://flingtrainer.com/downloads/uvG7Akj6ZMoKn1TxRFCTnA,,"
Dead Cells,Dead Cells Trainer,https://flingtrainer.com/trainer/dead-cells-trainer/,"https://flingtrainer.com/downloads/rgFnnYAL8ObTwAbjjM5AMQ,,"
Dead Island 2,Dead Island 2 Trainer,https://flingtrainer.com/trainer/dead-island-2-trainer/,"https://flingtrainer.com/downloads/Xu9VCSzuc0xG8ZTLvt2sww,,"
Dead or Alive 6,Dead or Alive 6 Trainer,https://flingtrainer.com/trainer/dead-or-alive-6-trainer/,"https://flingtrainer.com/downloads/_mkBNpglGNxhb319wJ2dPg,,"
Dead Rising Deluxe Remaster,Dead Rising Deluxe Remaster Trainer,https://flingtrainer.com/trainer/dead-rising-deluxe-remaster-trainer/,"https://flingtrainer.com/downloads/zp8t7ZFjBFD3hBIEqeP-1g,,"
Dead Space Remake,Dead Space Remake Trainer,https://flingtrainer.com/trainer/dead-space-remake-trainer/,"https://flingtrainer.com/downloads/yC92f-VvDW88sL4e9g63dA,,"
DEATHLOOP,DEATHLOOP Trainer,https://flingtrainer.com/trainer/deathloop-trainer/,"https://flingtrainer.com/downloads/ZMxutackacqZfc2S8wUmzA,,"
Death end re;Quest,Death end re;Quest Trainer,https://flingtrainer.com/trainer/death-end-request-trainer/,"https://flingtrainer.com/downloads/qYJvZ867pOdGRl37tEtCog,,"
Death end re;Quest 2,Death end re;Quest 2 Trainer,https://flingtrainer.com/trainer/death-end-request-2-trainer/,"https://flingtrainer.com/downloads/qK1x28y52e6qffaO2B_Iwg,,"
